-aktig	-âtre
allomorf	allomorphe
allotrop	allotrope
allra	de tous, le plus
alls	du tout
allsmäktig	tout-puissant
allt eftersom	au fur et à mesure
allt emellanåt	de temps en temps
alltefter	selon
alltid	toujours
allting	tout
alltjämt	toujours
alltså	donc
alltså	ben
alludera	faire allusion
allusion	allusion
allvar	sérieux
allvarlig	sérieux
allvarsam	sérieux
allvetande	omniscient
allylklorid	chlorure allylique
allätare	omnivore
allé	allée
alm	orme
almanacka	almanach
almsjuka	graphiose de l'orme
aln	aune
alpacka	alpaga
alphorn	cor des Alpes
alpin	alpin
alpinist	alpiniste
alpjärnsparv	accenteur alpin
alpmurmeldjur	marmotte des Alpes
alpseglare	martinet à ventre blanc
alpvitfjäril	marbré des alpages
alster	œuvre
alstra	produire
alt	alto
altaiska	altai
altare	autel
alter ego	alter ego
alternativ	alternatif
alternativ	alternative
alternera	alterner
altfiol	alto
altruism	altruisme
altruist	altruiste
altruistisk	altruiste
aluminium	aluminium
aluminiumbromid	bromure d'aluminium
aluminiumfosfid	phosphure d'aluminium
aluminiumklorid	chlorure d'aluminium
aluminiumnitrat	nitrate d'aluminium
aluminiumoxid	alumine
alun	alun
alv	sous-sol
alveol	alvéole
amalgam	amalgame
amaryllis	amaryllis
amason	amazone
ambassad	ambassade
ambassadör	ambassadeur
ambidextriös	ambidextre
ambiguitet	ambiguïté
ambiguös	ambigu
ambition	ambition
ambitiös	ambitieux
ambitransitiv	ambitransitif
ambivalens	ambivalence
ambrosia	ambroisie
ambulans	ambulance
amen	amen
americium	américium
amerikan	Américain
amerikanisera	américaniser
amerikanisering	américanisation
amerikansk	américain
amerikansk bläsand	canard d'Amérique
amerikansk engelska	anglais américain
amerikansk fotboll	football américain
amerikansk kopparand	érismature rousse
amerikansk kricka	sarcelle à ailes vertes
amerikansk skogssnäppa	chevalier solitaire
amerikansk talltita	mésange à tête noire
amerikanska	Américaine
ametist	améthyste
amfetamin	amphétamine
amfibie	aéroplane amphibie
amfiteater	amphithéâtre
amfolyt	ampholyte
amfolytisk	amphotère
amfora	amphore
amid	amide
amin	amine
aminosyra	acide aminé
amiral	amiral rouge
amiralitet	amirauté
amma	nourrice
amma	allaiter
ammoniak	ammoniac
ammonit	ammonite
ammonium	ammonium
ammoniumbikromat	dichromate d'ammonium
ammoniumbromid	bromure d'ammonium
ammoniumformiat	formiate d'ammonium
ammoniumfosfat	phosphate d'ammonium
ammoniumklorid	chlorure d’ammonium
ammoniumnitrat	nitrate d'ammonium
ammoniumperklorat	perchlorate d'ammonium
ammoniumpersulfat	persulfate d'ammonium
ammunition	munition
amnesi	amnésie
amnesti	amnistie
amoralisk	amoral
amoralitet	amoralité
amorf	amorphe
amortera	amortir
ampellilja	chlorophytum chevelu
ampere	ampère
amperemeter	ampèremètre
amperetimme	ampère-heure
amplitud	amplitude
ampull	ampoule
amputation	amputation
amputera	amputer
amsaga	conte de bonne femme
amulett	amulette
amurtiger	tigre de l'Amour
amusant	amusant
amylos	amylose
amöba	amibe
ana	pressentir
anabolism	anabolisme
anaerob	anaérobique
anafor	anaphore
anagram	anagramme
anakonda	anaconda
anakoret	anachorète
anakronism	anachronisme
anakronistisk	anachronique
analfabet	analphabète
analfabetism	analphabétisme
analgetika	analgésique
analplugg	plug
analsex	sodomie
analys	analyse
analytisk	analytique
anamma	adopter
anamnes	anamnèse
ananas	ananas
anarki	anarchie
anarkism	anarchisme
anarkist	anarchiste
anarkistisk	anarchiste
anarkosyndikalism	anarcho-syndicalisme
anatas	anatase
anatomi	anatomie
and	canard
andas	respirer
andas ut	expirer
ande	esprit
andedrag	souffle
andedräkt	souffle
andetag	respiration
andfådd	essoufflé
andlig	spirituel
andning	respiration
andningsövning	exercice de respiration
andorran	Andorran
andra	autre
andra person	deuxième personne
andra världskriget	Seconde Guerre mondiale
andraderivata	dérivée seconde
andragradsekvation	équation du second degré
andraspråk	deuxième langue
andreaskors	croix de Saint-André
andrepilot	copilote
androcentrism	androcentrisme
androfil	androphile
androfobi	androphobie
androgyn	androgyne
android	androïde
andropaus	andropause
anekdot	anecdote
anekdotisk	anecdotique
anemi	anémie
anemisk	anémique
anemometer	anémomètre
anestesi	anesthésie
anestesiologi	anesthésiologie
anfall	attaque
anfalla	attaquer
anfallare	attaquant
anfallskrig	guerre d'agression
anfäkta	tourmenter
anföra	citer
anförtro	confier
anförvant	parent
angelägen	urgent
angenäm	agréable
anglicism	anglicisme
anglifiera	angliciser
anglisera	angliciser
anglofil	anglophile
anglosaxare	Anglo-Saxon
anglosaxisk	anglo-saxon
angolan	Angolais
angolansk	angolais
angrepp	attaque
angripa	attaquer
angripare	agresseur
angå	concerner
anhängare	partisan
anilin	aniline
anilingus	anilinctus
animalisk	animal
animering	animation
animism	animisme
animositet	animosité
aning	idée
anis	anis
anisotropi	anisotropie
anjon	anion
anka	canard
ankare	ancre
ankarlift	téléski à archets
ankel	cheville
anklaga	accuser
anklagelse	accusation
ankomma	arriver
ankomsttid	heure d'arrivée
anledning	raison
anlita	employer
anlägga	établir
anlända	arriver
anmälan	annonce
anmärkning	annotation
annalkande	proche
annan	autre
annandag påsk	lundi de Pâques
annektera	annexer
annihilera	annihiler
annons	annonce
annorlunda	autrement
annotera	annoter
annuell	annuel
annuell	annuelle
annullera	annuler
annullering	annulation
annulus	anneau
anod	anode
anomali	anomalie
anonym	anonyme
anonymitet	anonymat
anonymt	anonymement
anorak	anorak
anordna	arranger
anordning	appareil
anorektiker	anorexique
anorektisk	anorexique
anorexi	anorexie
anoxi	anoxie
anpassa	adapter
anpassning	adaptation
anschluss	Anschluss
anse	penser
ansikte	face
ansiktsigenkänning	reconnaissance faciale
ansiktsmask	masque facial
ansiktsuttryck	faciès
anslutning	liens
anspråk	revendication
anspråksfull	prétentieux
anstränga	faire des efforts
ansträngning	effort
anställa	engager
anställningsintervju	embauche
anstötlig	scabreux
ansvar	responsabilité
ansvarig	responsable
ansvarsfull	responsable
ansvarslös	irresponsable
ansvarslöshet	irresponsabilité
ansvarslöst	irresponsablement
ansvarsområde	ressort
anta	accepter
antagligen	probablement
antagonism	antagonisme
antal	nombre
antarktisk	antarctique
anteckning	note
anteckningsblock	bloc-notes
anteckningsbok	carnet
antediluviansk	antédiluvien
antenn	antenne
antibiotikum	antibiotique
antigen	antigène
antik	antique
antiklerikal	anticlérical
antiklerikal	anticlérical
antikommutativitet	anticommutativité
antikvariat	bouquinerie
antikvark	antiquark
antikvitet	antiquité
antilop	antilope
antimateria	antimatière
antimon	antimoine
antimonklorid	trichlorure d'antimoine
antimonoxid	trioxyde d’antimoine
antingen	soit
antinomi	antinomie
antioxidant	antioxydant
antipartikel	antiparticule
antipod	antipode
antirasist	antiraciste
antisemit	antisémite
antisemitisk	antisémite
antisemitism	antisémitisme
antiseptisk	antiseptique
antisocial	antisocial
antivaxare	antivax
antologi	anthologie
antonym	antonyme
antonymi	antonymie
antracit	anthracite
antropocen	anthropocène
antropocentrisk	anthropocentrique
antropocentrism	anthropocentrisme
antropolog	anthropologue
antropologi	anthropologie
antropologisk	anthropologique
antroponym	anthroponyme
anträda	commencer
anträffbar	joignable
antyda	sembler indiquer
antända	mettre le feu
antändbar	inflammable
antändlighet	inflammabilité
anus	anus
anvisning	instruction
använda	utiliser
användare	utilisateur
användarnamn	nom d'utilisateur
användarvänlig	convivial
användbar	utilisable
användning	usage
aorta	aorte
apa	singe
apa	faire le singe
apa efter	imiter
apartheid	apartheid
apatisk	apathique
apatit	apatite
apelsin	orange
apelsinträd	oranger
aperitif	apéritif
aphelium	aphélie
apkoppor	variole du singe
apnäve	poing de singe
apogeum	apogée
apokalyps	apocalypse
apokalyptisk	apocalyptique
apokope	apocope
apokopera	apocoper
apokryfisk	apocryphe
apomixis	apomixie
apostat	apostat
apostel	apôtre
apostrof	apostrophe
apostrofera	apostropher
apotek	pharmacie
apotekare	pharmacien
apparat	appareil
appell	appel
appellativ	nom commun
appendektomi	appendicectomie
appendix	appendice
applikation	application
applåd	applaudissements
applådera	applaudir
apposition	apposition
appreciera	apprécier
appreciering	appréciation
approximant	spirante
approximativ	approximatif
approximera	approximer
aprikos	abricot
aprikosfärgad	abricot
aprikosmarmelad	confiture d’abricots
april	avril
aprilskämt	poisson d’avril
apropå	à propos
aptit	appétit
aptitlöshet	inappétence
aptitretare	amuse-gueule
ar	are
ara	ara
arab	Arabe
arabesk	arabesque
arabisera	arabiser
arabisk	arabique
arabiska	arabe
arachibutyrofobi	arachibutyrophobie
aragonska	aragonais
arakinsyra	acide arachidique
araknofobi	arachnophobie
arameiska	araméen
aranesiska	aranais
arbeta	travailler
arbetarbostad	logement de fonction
arbetare	ouvrier
arbetarklass	classe ouvrière
arbete	travail
arbetsbok	livret d'ouvrier
arbetsförmedling	agence pour l'emploi
arbetsgivare	employeur
arbetshäst	cheval de trait
arbetskamrat	collègue
arbetskraft	main d'œuvre
arbetslös	au chômage
arbetslöshet	chômage
arbetslöshetsförsäkring	assurance-chômage
arbetslöshetssiffra	chiffres du chômage
arbetsmarknad	marché du travail
arbetsplats	lieu de travail
arbetsrätt	droit du travail
arbetstagare	travailleur
arbetstid	temps de travail
arborist	arboriste
area	aire
arg	furieux
arganträd	arganier
argentinare	Argentin
argentinsk	argentin
argentinska	Argentine
argon	argon
argsint	irascible
argument	argument
argumentation	argumentation
argumentera	argumenter
arianism	arianisme
arier	Aryen
arisk	aryen
aristokrat	aristocrate
aristokrati	aristocratie
aristokratisk	aristocratique
aritet	arité
aritmetik	arithmétique
aritmetisk	arithmétique
ark	arche
arkad	arcade
arkaisk	archaïque
arkebusera	fusiller
arkeikum	Archéen
arkeolog	archéologue
arkeologi	archéologie
arkeologisk	archéologique
arkeologiskt	archéologiquement
arketyp	archétype
arkipelag	archipel
arkitekt	architecte
arkitektonisk	architectural
arkitektoniskt	architecturalement
arkitektur	architecture
arkitrav	architrave
arkiv	archives
arkivarie	archiviste
arkivera	archiver
arkivering	archivage
arkosaurie	archosaure
arktisk	arctique
arm	bras
armband	bracelet
armbandsklocka	montre
armbandsur	montre
armbindel	brassard
armborst	arbalète
armbrytning	bras de fer
armbåga sig fram	jouer des coudes
armbåge	coude
armbågsben	ulna
armenier	Arménien
armenisk	arménien
armeniska	Arménienne
armhävning	pompe
armhåla	aisselle
armod	pauvreté
armstöd	accoudoir
armé	armée
arom	arôme
aromaterapi	aromathérapie
aromaticitet	aromaticité
aromatisera	aromatiser
aromatisk	aromatique
aronia	aronie
arrangera	arranger
arrangör	organisateur
arrende	bail
arrestera	arrêter
arresterad	appréhendé
arresterande	arrestation
arrestering	arrestation
arrogans	arrogance
arrogant	arrogant
arrondissement	arrondissement
arsenal	arsenal
arsenik	arsenic
arsfenamin	arsphénamine
art	espèce
arteriol	artériole
arterit	artérite
artificiell	artificiel
artificiell intelligens	intelligence artificielle
artig	poli
artighet	politesse
artikel	article
artikulation	articulation
artikulera	articuler
artilleri	artillerie
artillerist	artilleur
artist	artiste
artistisk	artistique
artondel	dix-huitième
artär	artère
arumänska	aroumain
arv	patrimoine
arvanit	Arvanite
arvinge	héritier
arête	arête
asbestcement	amiante-ciment
asexualitet	asexualité
asexuell	asexuel
asfalt	asphalte
asfaltera	asphalter
asfyxi	asphyxie
asiat	Asiatique
asiatisk	asiatique
asienresa	voyage en Asie
ask	boîte
aska	cendre
askenas	ashkénaze
askenasisk	ashkénaze
askes	ascèse
asket	ascète
askfat	cendrier
askkopp	cendrier
askmoln	nuage de cendres
asocial	asocial
asp	tremble
aspirant	aspirant
aspirera	aspirer
assamesiska	assamais
assimilera	assimiler
assistans	assistance
assistent	assistant
assistera	passe décisive
associativ	associatif
associera	associer
assurera	assurer
assyriologisk	assyriologique
astat	astate
astenosfär	asthénosphère
aster	aster
asteroid	astéroïde
asteroidbälte	ceinture d’astéroïdes
astigmatiker	astigmate
astigmatism	astigmatisme
astma	asthme
astmatiker	asthmatique
astmatisk	asthmatique
astrild	astrild
astrobiologi	astrobiologie
astrocyt	astrocyte
astrofysik	astrophysique
astrofysiker	astrophysicien
astrolog	astrologue
astrologi	astrologie
astrologisk	astrologique
astronaut	astronaute
astronom	astronome
astronomi	astronomie
astronomisk	astronomique
astronomisk enhet	unité astronomique
asturier	asturien
asturiska	asturien
asyl	asile
asymmetri	asymétrie
asymmetrisk	asymétrique
asymptotisk	asymptotique
asymtomatisk	asymptomatique
asynkron	asynchrone
asätare	charognard
atavism	atavisme
ateism	athéisme
ateist	athée
ateistisk	athée
atjehnesiska	aceh
atlantisk	atlantique
atlantisk soldatfisk	hoplostèthe orange
atlas	atlas
atlet	athlète
atletisk	athlétique
atletiskt	athlétiquement
atmosfär	atmosphère
atmosfärisk	atmosphérique
atmosfärtryck	pression atmosphérique
atoll	atoll
atolli	atole
atom	atome
atomavfall	déchets nucléaires
atombomb	bombe atomique
atomenergi	énergie atomique
atomfysik	physique atomique
atomisera	atomiser
atomisk	atomique
atomkärna	noyau atomique
atommassa	masse atomique
atommassenhet	unité de masse atomique
atomnummer	numéro atomique
atomubåt	sous-marin nucléaire
atrofi	atrophie
atrofiera	atrophier
atropin	atropine
att	que
attaché	attaché
attachéväska	attaché-case
attack	attaque
attackera	attaquer
attention	attention
attestera	certifier
attestering	attestation
attiralj	attirail
attrahera	attirer
attraktion	attirance
attraktiv	attractif
attribut	attribut
attributiv	attributif
aubergine	aubergine
audiens	audience
audiofil	audiophile
audiogram	audiogramme
audition	audition
augusti	août
auktion	vente aux enchères
auktorisera	autoriser
auktoriserad	autorisé
auktoritet	autorité
auktoritär	autoritaire
aula	aula
aulos	aulos
australier	Australien
australisk	australien
australiska	Australienne
autarki	autarcie
autenticitet	authenticité
autentisk	authentique
autism	autisme
autist	autiste
autistisk	autiste
autoantonym	contronyme
autodidakt	autodidacte
autodidaktisk	autodidacte
autofiktion	autofiction
autofobi	autophobie
autograf	autographe
autokrati	autocratie
autokton	autochtone
autologisk	autologique
automagisk	automagique
automagiskt	automagiquement
automat	automate
automatisera	automatiser
automatisering	automatisation
automatisk	automatique
automatiskt	automatiquement
automorfi	automorphisme
autonom	autonome
autonomi	autonomie
autopilot	pilote automatique
autostrada	autoroute
av	de
avaktivera	désactiver
avancera	avancer
avantgarde	avant-garde
avantgardism	avant-gardisme
avariska	avar
avbilda	représenter
avbildning	illustration
avbitare	pince coupante
avbryta	interrompre
avböja	refuser
avdelning	service
avdrag	réduction
avdramatisera	dédramatiser
avdunsta	évaporer
aveny	avenue
avestiska	avestique
avfall	déchet
avfallshantering	élimination des déchets
avfolkning	dépeuplement
avfärd	départ
avföring	matières fécales
avgas	gaz d’échappement
avgasrör	pot d'échappement
avgift	tarif
avgiftsfrihet	gratuité
avgränsa	délimiter
avgränsning	délimitation
avguda	adorer
avgå	partir
avgång	départ
avgöra	décider
avgörande	crucial
avhandla	traiter
avhandling	thèse
avhängig	dépendant
avhållsamhet	abstinence
avi	annonce
aviatör	aviateur
avindustrialisering	désindustrialisation
avkastning	rendement
avkomma	progéniture
avkryptera	décrypter
avkryptering	décryptage
avkräva	exiger
avlasta	délester
avlastning	délestage
avleda	dériver
avledning	dérivé
avlida	décéder
avljud	apophonie
avlyssna	écouter
avlägsna	éloigner
avlägsnande	éloignement
avlång	oblong
avmagringssjuka	encéphalopathie des cervidés
avmattas	s'affaiblir
avokado	avocat
avreglering	dérégulation
avresa	départ
avresa	partir
avrinningsområde	bassin versant
avrunkning	branlette
avrätta	exécuter
avrättad	exécuté
avrättare	bourreau
avrättning	exécution
avråda	déconseiller
avsikt	but
avsiktlig	volontaire
avsiktligt	volontairement
avskaffa	abolir
avskeda	licencier
avskild	séparé
avskildhet	isolement
avskum	lie
avsky	dégoût
avsky	détester
avskyvärd	abominable
avslag	rabais
avsluta	terminer
avslutning	conclusion
avslå	rejeter
avslöja	révéler
avsnitt	partie
avspegla	refléter
avspänning	détente
avspärrning	barrage
avstalinisering	déstalinisation
avstava	épeler
avstyra	prévenir
avstå	renoncer
avstånd	distance
avsugning	pipe
avsända	envoyer
avsändare	expéditeur
avta	faiblir
avtacka	remercier
avtagande	décroissant
avtagbar	amovible
avtryck	empreinte
avträda	céder
avund	envie
avundas	envier
avundsam	envieux
avundsjuk	envieux
avundsvärd	enviable
avvara	se passer de
avvisa	repousser
avväpna	désarmer
avvärja	prévenir
avyttring	vente
ax	épi
axel	épaule
axeltryck	charge à l'essieu
axiom	axiome
axiomatisk	axiomatique
azalea	azalée
azer	Azerbaïdjanais
azerbajdzjansk	azerbaïdjanais
azerbajdzjanska	Azerbaïdjanaise
azerisk	azéri
azeriska	Azerbaïdjanaise
azukiböna	haricot adzuki
azur	azur
azurit	azurite
azurmes	mésange azurée
b-förtecken	bémol
babbel	babillage
babbla	babiller
babian	babouin
babord	bâbord
babyboom	baby-boom
babylonier	Babylonien
babylonisk	babylonien
babyvakt	babyphone
bacill	bacille
back	gaillard
backa	reculer
backhoppning	saut à ski
backsvala	hirondelle de rivage
backväxel	marche arrière
bacon	bacon
bad	bain
bada	baigner
badbyxor	slip de bain
baddräkt	maillot de bain
badkar	baignoire
badminton	badminton
badmintonspelare	joueur de badminton
badmössa	bonnet de bain
badrock	peignoir
badrum	salle de bains
badvakt	maître-nageur
bagage	bagage
bagagevagn	chariot à bagages
bagare	boulanger
bagel	bagel
bageri	boulangerie
bagerska	boulangère
bagge	bélier
baguette	baguette
bahrainare	Bahreïnien
baisse	baisse
bajonett	baïonnette
bajs	caca
bajsa	chier
bajskorv	étron
bajsmacka	sandwich de marde
bakdel	postérieur
bakelit	bakélite
bakelse	petits gâteaux
bakgrund	origine
bakhjul	roue arrière
bakhjärna	cerveau postérieur
bakhåll	embuscade
bakom	derrière
bakom lyckta dörrar	à huis clos
bakpulver	levure chimique
bakre	postérieur
baksida	verso
bakslag	revers
baksmälla	gueule de bois
baksäte	siège arrière
baktala	calomnier
baktericid	bactéricide
bakterie	bactérie
bakteriolog	bactériologiste
bakteriologi	bactériologie
bakteriologisk	bactériologique
bakteriologiskt	bactériologiquement
bakverk	pâtisserie
bakåtvolt	salto arrière
bal	bal
balalajka	balalaïka
balanssinne	sens de l'équilibre
balboa	balboa
baldakin	baldaquin
balearisk lira	puffin des Baléares
balett	ballet
balettkår	corps de ballet
balettmästare	maître de ballet
balettoman	balletomane
balettsko	chausson de danse
balinesiska	balinais
balk	bande
balkanisera	balkaniser
balkanisering	balkanisation
balkanmes	mésange lugubre
balkong	balcon
ballad	ballade
balle	bite
ballistik	balistique
ballistisk	balistique
ballong	ballon
balneologi	balnéologie
balsam	après-shampoing
balsamera	embaumer
baltisk	baltique
baluster	balustre
balustrad	balustrade
bambara	bambara
bambu	bambou
banal	banal
banalisera	banaliser
banalitet	banalité
banan	banane
bananfluga	mouche du vinaigre
bananrepublik	république bananière
bananskal	peau de banane
band	bande
bandage	bandage
banderoll	banderole
bandit	bandit
bandspelare	magnétophone
bandura	bandura
baneman	meurtrier
bangladeshisk	bangladais
bangård	gare
banjaresiska	banjar
banjo	banjo
bank	banque
bankett	banquet
bankettera	banqueter
bankir	banquier
bankkonto	compte bancaire
bankkort	carte bancaire
bankrutt	failli
bankrån	braquage de banque
bannlysning	bannissement
bantu	Bantou
banvall	remblai
bar	bar
bar mitzva	bar-mitsva
bara	seulement
barbar	barbare
barbarisk	barbare
barberare	barbier
barberarskylt	enseigne de barbier
barista	barista
barium	baryum
bariumborat	métaborate de baryum
bariumbromid	bromure de baryum
bariumhydroxid	hydroxyde de baryum
bariumkarbonat	carbonate de baryum
bariumklorid	chlorure de baryum
bariumoxid	oxyde de baryum
bariumsulfat	sulfate de baryum
bark	écorce
barkentin	barquentine
barmhärtig	gracieuse
barmhärtighet	grâce
barn	barn
barnarbete	travail des enfants
barnbarn	petit-enfant
barnbarnsbarn	arrière-petit-enfant
barnbidrag	allocation familiale
barnbok	livre pour enfants
barndom	enfance
barnflicka	bonne d'enfants
