άρχης	arca
Μαλδίβες	Maldive
Μανάμα	Manama
Μανίλα	Manila
Μανασσής	Manasse
Μαρία	Maria
Μαραθώνας	Maratona
Μαργαρίτα	Margherita
Μαριάννα	Marianna
Μαριούπολη	Marijupil'
Μαροκινός	marocchino
Μαρούσι	Maroussi
Μαρτινίκα	Martinica
Μαρόκο	Marocco
Μασαχουσέτη	Massachusetts
Μασσαλία	Marsiglia
Ματθίλδη	Matilde
Ματθαίος	Matteo
Μαυρέτα	Mauretta
Μαυρίκιος	Maurizio
Μαυριτανία	Mauritania
Μαυροβούνιο	Montenegro
Μαυρογένης	Barbanera
Μαύρα	Maura
Μεγάλη Άρκτος	Orsa Maggiore
Μεγάλη Έκρηξη	Big Bang
Μεγάλη Βρετανία	Gran Bretagna
Μεγάλη Εβδομάδα	Settimana Santa
Μεγάλη Παρασκευή	Venerdì Santo
Μεγαλειότατε	Sua Maestà
Μεθόδιος	Metodio
Μεκλεμβούργο-Δυτική Πομερανία	Meclemburgo-Pomerania Anteriore
Μελανία	Melania
Μελισσάνθη	Melisanda
Μελόνι	Meloni
Μενέλαος	Menelao
Μεξικανός	messicano
Μεξικό	Città del Messico
Μεσοποταμία	Mesopotamia
Μεσόγειος Θάλασσα	Mar Mediterraneo
Μεταρρύθμιση	riforma protestante
Μεφιστοφελής	Mefistofele
Μιζούρι	Missouri
Μιθριδάτης	Mitridate
Μικρή Άρκτος	Orsa Minore
Μικρονησία	Micronesia
Μικροσκόπιον	Microscopio
Μικρός Κύων	Cane Minore
Μιλάνο	Milano
Μιλτιάδης	Milziade
Μινσκ	Minsk
Μιρέλλα	Mirella
Μισισίπι	Mississippi
Μισσισσιπής	Mississippi
Μιχαέλα	Michaela
Μιχαήλ	Michele
Μιχαήλ Άγγελος	Michelangelo
Μιχαίας	Michea
Μνημοσύνη	Mnemosine
Μογγολία	Mongolia
Μογκαντίσου	Mogadiscio
Μοζαμβίκη	Mozambico
Μονακό	Monaco
Μονπελιέ	Montpellier
Μοντάνα	Montana
Μοντρεαλίτης	montrealesi
Μοντσερράτ	Monserrat
Μονόκερως	Unicorno
Μοσούλη	Mossul
Μπάρι	Bari
Μπέλγκοροντ	Belgorod
Μπέλλα	Bella
Μπέλφαστ	Belfast
Μπέργκαμο	Bergamo
Μπέργκεν	Bergen
Μπέστλα	Bestla
Μπακού	Baku
Μπαλντρ	Baldr
Μπαμπ ελ Μαντέμπ	Bab el-Mandeb
Μπανγκλαντές	Bangladesh
Μπανγκόκ	Bangkok
Μπαρλέτα	Barletta
Μπαρμπάντος	Barbados
Μπας Τερ	Basse-Terre
Μπασιλικάτα	Basilicata
Μπασκορτοστάν	Baschiria
Μπαστιά	Bastia
Μπαχάμες	Bahama
Μπαχρέιν	Bahrain
Μπεζανσόν	Besançon
Μπελίζ	Belize
Μπελούνο	Belluno
Μπενίν	Benin
Μπενεβέντο	Benevento
Μπενελούξ	Benelux
Μπενιζέλος	Mpenizelos
Μπετζάγια	Bugia
Μπετσουαναλάνδη	Protettorato del Bechuanaland
Μπετόβεν	Beethoven
Μποτσουάνα	Botswana
Μπουένος Άιρες	Buenos Aires
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Μπουτάν	Bhutan
Μπρατισλάβα	Bratislava
Μπρνο	Brno
Μπρουνέι	Brunei
Μπρυζ	Bruges
Μπόλιγουντ	Bollywood
Μυία	Mosca
Μυρρινούς	Mirrinunte
Μωάμεθ	Maometto
Μωυσής	Mosè
Μόναχο	Monaco
Μόντρεαλ	Montréal
Μόρφου	Morphou
Μόσχα	Mosca
Νάξος	Nasso
Νάπολη	Napoli
Νέα Ερυθραία	Nea Eritrea
Νέα Ζηλανδία	Nuova Zelanda
Νέα Καληδονία	Nuova Caledonia
Νέα Υόρκη	Nuova York
Νέα Φιλαδέλφεια	Nea Filadelfia
Νέα Χαλκηδόνα	Nea Chalchidona
Νέο Δελχί	Nuova Delhi
Νέο Μεξικό	Nuovo Messico
Νέο Ψυχικό	Neo Psichikò
Νέος Κόσμος	Nuovo Mondo
Νέρτους	Nerthus
Νήσοι Κουκ	Isole Cook
Νήσοι Μάρσαλ	Isole Marshall
Νίγηρας	Niger
Νίκαια	Nicea
Νίκη	Nike
Νίσαια	Nisea
Ναμίμπια	Namibia
Ναούμ	Naum
Ναούρου	Nauru
Ναταλία	Natalia
Ναυσικά	Nausicaa
Ναϊρόμπι	Nairobi
Νεβάδα	Nevada
Νεεμίας	Neemia
Νεκρά Θάλασσα	Mar Morto
Νεοϋορκέζος	Newyorkese
Νεπάλ	Nepal
Νησιά του Σολομώντα	Isole Salomone
Νιγηρία	Nigeria
Νικαράγουα	Nicaragua
Νικολέττα	Nicoletta
Νικόδημος	Nicodemo
Νικόλαος	Nicola
Νοέμβριος	novembre
Νορβηγία	Norvegia
Νορβηγίδα	norvegese
Νορβηγός	norvegese
Ντάκα	Dacca
Ντέλαγουερ	Delaware
Ντίνσλακεν	Dinslaken
Ντουμπάι	Dubai
Ντόχα	Doha
Νότια Αμερική	America meridionale
Νότια Αφρική	Sudafrica
Νότια Κορέα	Corea del Sud
Νότιο Σουδάν	Sud Sudan
Νότιος Πόλος	polo sud
Νώε	Noè
Ξάνθη	Xanthi
ΟΥΕΦΑ	UEFA
Οίον	Eo
Οβδιού	Obadia
Οδησσός	Odessa
Οδυσσέας	Ulisse
Οδύσσεια	Odissea
Οθωμανική Αυτοκρατορία	Impero ottomano
Οιδίποδας	Edipo
Οκλαχόμα	Oklahoma
Οκρίβας	Pittore
Οκτάς	Ottante
Οκτώβριος	Ottobre
Ολλανδία	Olanda
Ολλανδικές Αντίλλες	Antille olandesi
Ολλανδός	olandese
Ολυμπιακοί Αγώνες	Giochi olimpici
Ομάν	Oman
Ονδούρα	Honduras
Οντίν	Odino
Οξφόρδη	Oxford
Οργανισμός Βορειοατλαντικού Συμφώνου	Organizzazione del Trattato Nord Atlantico
Οργανισμός Ηνωμένων Εθνών	Organizzazione delle Nazioni Unite
Ορθόδοξη Εκκλησία	Chiesa ortodossa
Ορλεάνη	Orléans
Οσάκα	Osaka
Οτρύνη	Otrine
Οττάβα	Ottawa
Ουαλία	Galles
Ουαλός	gallese
Ουαϊόμινγκ	Wyoming
Ουγγαρία	Ungheria
Ουγκάντα	Uganda
Ουζμπεκιστάν	Uzbekistan
Ουισκόνσιν	Wisconsin
Ουκρανή	ucraina
Ουκρανία	Ucraina
Ουκρανός	ucraino
Ουλουρού	Uluru
Ουλρ	Ullr
Ουρανία	Urania
Ουρανός	Urano
Ουρουγουάη	Uruguay
Ουτρέχτη	Utrecht
Ουψάλα	Uppsala
Οφηλία	Ofelia
Οφιούχος	Ofiuco
Οχάιο	Ohio
Ούγγρος	Ungherese
Ούννος	Unno
ΠΟΠ	DOP
ΠΟΥ	OMS
Πάνας	Pan
Πάντειο	Pantio
Πάντοβα	Padova
Πάρνηθα	Parnete
Πάρος	Paro
Πάσχα	Pasqua
Πάτερ ημών	Padre Nostro
Πάτρα	Patrasso
Πάτροκλος	Patroclo
Πάτσι	Pazzi
Πάφος	Pafo
Πέμπτη	giovedì
Πέργαμος	Pergamo
Πέρσης	persiano
Πέρσιβαλ	Parsifal
Πέτρος	Pietro
Πήγασος	Pegaso
Πήληκες	Pelece
Πίνδος	Pindo
Πίος	Pio
Παΐσιος	Paisios
Παγές	Paghe
Παγγαία	Pangea
Παιονίδες	Peonide
Πακιστάν	Pakistan
Πακιστανός	pachistano
Παλάου	Palau
Παλέρμο	Palermo
Παλαιά Διαθήκη	Antico Testamento
Παλαιστίνη	Palestina
Παλαιός Κόσμος	Vecchio mondo
Παμβωτάδες	Pambotade
Παναγιώτης	Panait
Παναμάς	Panamá
Πανδώρα	Pandora
Παννονία	Pannonia
Παντοδύναμος	Onnipotente
Παπουτσωμένος Γάτος	Il gatto con gli stivali
Παρίσι	Parigi
Παραγουάη	Paraguay
Παραλειπομένων Α΄	I Croniche
Παραλειπομένων Β'	II Croniche
Παρασκευή	venerdì
Παρθένος	Vergine
Παρθενώνας	Partenone
Παριζιάνα	parigina
Παριζιάνος	parigino
Παροιμίες	Proverbi
Πατρικία	Patrizia
Παύλος	Paolo
Πεδεμόντιο	Piemonte
Πειραιάς	Pireo
Πεκίνο	Pechino
Πεκς	Pécs
Πελάγιος	Pelagio
Πελαγία	Pelagia
Πελασγός	Pelasgi
Πελοπόννησος	Peloponneso
Πενσυλβάνια	Pennsylvania
Πεντάτευχος	Pentateuco
Πεντελικό	Pentelico
Περγασή	Pergase
Περικλής	Pericle
Περιστερά	Colomba
Περού	Perù
Περσέας	Perseo
Περσία	Persia
Περσεύς	Perseo
Πηλέας	Peleo
Πηνειός	Peneo
Πηνελόπη	Penelope
Πιονγιάνγκ	Pyongyang
Πλάτων	Platone
Πλήθων	Pletone
Πλειάδες	Pleiadi
Πλούταρχος	Plutarco
Πλούτωνας	Plutone
Πλωτίνος	Plotino
Πλώθεια	Plotia
Πνύκα	Pnice
Πολιτεία	La Repubblica
Πολυνησία	Polinesia
Πολυξένη	Polissena
Πολωνία	Polonia
Πολωνός	polacco
Πολύμνια	Polinnia
Πομερανή	pomerana
Πομερανία	Pomerania
Πομερανός	pomerano
Πομπηία	Pompei
Ποντγκόριτσα	Podgorica
Πορτογάλος	portoghese
Πορτογαλία	Portogallo
Ποσειδώνας	Poseidone
Ποταμός	Potamo
Πουέρτο Ρίκο	Porto Rico
Πράγα	Praga
Πράξεις των Αποστόλων	Atti degli Apostoli
Πράσινο Ακρωτήριο	Capo Verde
Προμηθέας	Prometeo
Προποντίδα	Propontide
Πρωσία	Prussia
Πρωσίδα	prussiana
Πρωτομαγιά	calendimaggio
Πρωτοχρονιά	capodanno
Πρύμνη	Poppa
Πρώσος	prussiano
Πτηνόν Παραδείσιον	Uccello del Paradiso
Πτολεμαία	Tolomea
Πτολεμαίος	Tolomeo
Πυθία	Pizia
Πυξίς	Bussola
Πυρηναία	Pirenei
Πύργος του Άιφελ	Torre Eiffel
Ρέα	Rea
Ρέγκενσμπουργκ	Ratisbona
Ρέικιαβικ	Reykjavík
Ρήνος	Reno
Ρίγα	Riga
Ρίο ντε Τζανέιρο	Rio de Janeiro
Ραβέννα	Ravenna
Ραμπάτ	Rabat
Ραφαέλα	Raffaella
Ραφαήλ	Raffaele
Ρεβέκκα	Rebecca
Ρεν	Rennes
Ρεϋνιόν	Riunione
Ρηνανία-Παλατινάτο	Renania-Palatinato
Ριάντ	Riad
Ριέτι	Rieti
Ριχάρδος	Riccardo
Ρογήρος	Ruggero
Ροδανός	Rodano
Ρομ	zingara
Ρομπέν των Δασών	Robin Hood
Ρουάντα	Ruanda
Ρουβίκωνας	Rubicone
Ρουθ	Rut
Ρουμάνος	romeno
Ρουμανία	Romania
Ρωμαίος	romana
Ρωμαϊκή Αυτοκρατορία	Impero Romano
Ρωμύλος	Romulus
Ρωξάνη	Rossane
Ρωσία	Russia
Ρωσίδα	russa
Ρωσική Ομοσπονδία	Federazione Russa
Ρόδος	Rodi
Ρώμη	Roma
Ρώσος	russo
Σάββατο	sabato
Σάλτσμπουργκ	Salisburgo
Σάμος	Samo
Σάξονας	sassone
Σάρα	Sara
Σέρβος	serbo
Σέργιος	Sergio
Σίολ	Sheol
Σαβά	Saba
Σαββατοκύριακο	fine settimana
Σακραμέντο	Sacramento
Σαλαμίνα	Salamina
Σαμουήλ	Samuele
Σαμπρίνα	Sabrina
Σαμψών	Sansone
Σαμόα	Samoa
Σαξονία	Sassonia
Σαουδάραβας	saudita
Σαουδική Αραβία	Arabia Saudita
Σαπφώ	Saffo
Σαρδηνία	Sardegna
Σαρωνικός	Saronico
Σαχάρα	Sahara
Σαύρα	Lucertola
Σείριος	Sirio
Σεβίλλη	Siviglia
Σεβαστούπολη	Sebastopoli
Σεβιλλιάνα	sivigliana
Σεβιλλιανός	sivigliano
Σενεγάλη	Senegal
Σεούλ	Seoul
Σεπτέμβριος	settembre
Σεραφίνα	Serafina
Σερβία	Serbia
Σερβία και Μαυροβούνιο	Serbia e Montenegro
Σεχόλ	Sheol
Σεϋχέλλες	Seychelles
Σηκουάνας	Senna
Σημαχίδες	Semachide
Σιέρα Λεόνε	Sierra Leone
Σιβηρία	Siberia
Σιγκαπούρη	Singapore
Σικάγο	Chicago
Σικελία	Sicilia
Σιφ	Sif
Σκάλα	la Scala
Σκαμβωνίδες	Scambonide
Σκανδιναβία	Scandinavia
Σκανδιναβός	scandinavo
Σκιάθος	Sciato
Σκορπιός	Scorpione
Σκωτία	Scozia
Σκωτσέζος	scozzese
Σκόπια	Skopje
Σκύλλα	Scilla
Σλάβος	slavo
Σλοβάκος	slovacca
Σλοβακία	Slovacchia
Σλοβενία	Slovenia
Σμύρνη	Smirne
Σοβιετική Ένωση	Unione Sovietica
Σολομών	Salomone
Σομαλία	Somalia
Σουαβία	Svevia
Σουαζιλάνδη	Swaziland
Σουδάν	Sudan
Σουηδή	svedese
Σουηδία	Svezia
Σουηδός	svedese
Σουμάτρα	Sumatra
Σουρινάμ	Suriname
Σοφία	Sofia
Σοφοκλής	Sofocle
Σοφονίας	Sofonia
Σούζα	Susa
Σπάιντερμαν	Uomo Ragno
Σπάρτη	Sparta
Σπυρίδων	Spiridione
Σρι Λάνκα	Sri Lanka
Στέφανι	Stefani
Στέφανος	Stefano
Στέφανος Βόρειος	Corona Boreale
Στέφανος Νότιος	Corona Australe
Σταυρός του Νότου	Croce del Sud
Σταχτοπούτα	Cenerentola
Στεφάνι	Stefani
Στεφανία	Stefania
Στοκχόλμη	Stoccolma
Στράουσμπεργκ	Strausberg
Στρασβούργο	Strasburgo
Στόουνχεντζ	Stonehenge
Συλβέστρος	Silvestro
Συρία	Siria
Σφίγγα	Sfinge
Σφηττός	Sfetto
Σωκράτης	Socrate
Σωσθένης	Sostene
Σωτήριος	Salvatore
Σόνια	Sonia
Σόφια	Sofia
ΤΚ	CAP
Τάγος	Tago
Τάκιτος	Tacito
Τάμεσης	Tamigi
Τάραντας	Taranto
Τέξας	Texas
Τήλος	Píscopi
Τίβολι	Tivoli
Τίρανα	Tirana
Τίτος	Tito
Ταλμούδ	Talmud
Τανζανία	Tanzania
Τασκένδη	Tashkent
Τασμανία	Tasmania
Τατιάνα	Tatiana
Ταϊβάν	Taiwan
Ταϊλάνδη	Tailandia
Ταϊπέι	Taipei
Ταύρος	Toro
Ταώς	Pavone
Τεξανός	texano
Τερψιχόρη	Tersicore
Τετάρτη	mercoledì
Τεχεράνη	Teheran
Τζακάρτα	Giacarta
Τζαμάικα	Giamaica
Τζιμπουτί	Djibouti
Τζοκόντα	Gioconda
Τζόρτζια	Georgia
Τηθύς	Teti
Τηλεσκόπιον	Telescopio
Τιρ	Týr
Τιτάνας	Titano
Τιφλίδα	Tbilisi
Τοξότης	Sagittario
Τορίνο	Torino
Τορόντο	Toronto
Τοσοδούλα	Mignolina
Τοτός	Toto
Τουβαλού	Tuvalu
Τουκάνα	Tucano
Τουλούζη	Tolosa
Τουλόν	Tolone
Τουρκία	Turchia
Τουρκμενιστάν	Turkmenistan
Τούλα	Tula
Τούρκος	turco
Τράπεζα	Mensa
Τρίβερο	Trivero
Τρίγωνον	Triangolo
Τρίγωνον Νότιον	Triangolo Australe
Τρίπολη	Tripoli
Τρίτη	martedì
Τρίτος Κόσμος	terzo mondo
Τραϊανός	Traiano
Τρινέμεια	Trinemea
Τρινιντάντ και Τομπάγκο	Trinidad e Tobago
Τροία	Troia
Τροιζήνα	Trezene
Τροντσάνο Βερτσελλέζε	Tronzano Vercellese
Τρωάδα	Troade
Τρόπις	Carina
Τρύφων	Trifone
Τσέχος	ceco
Τσίτι	Citti
Τσαντ	Ciad
Τσερνόμπιλ	Černobyl'
Τσεχία	Repubblica Ceca
Τσεχοσλοβακία	Cecoslovacchia
Τσικνοπέμπτη	Giovedì Grasso
Τσουκαλάς	Vasaio
Τυνησία	Tunisia
Τόγκο	Togo
Τόκιο	Tokyo
Τόνγκα	Tonga
Τόνυ	Tony
Τύνιδα	Tunisi
Τύρος	Tiro
Υάκινθος	Giacinto
Υδροχόος	Aquario
Υεμένη	Yemen
Υμηττός	Imetto
Υπαπαντή	Candelora
Υπερδνειστερία	Transnistria
Υόρκη	York
ΦΠΑ	IVA
Φήλιξ	Felice
Φαύστα	Fausta
Φεβρουάριος	febbraio
Φεζ	Fes
Φιλίσκος	Filico
Φιλαΐδες	Filaide
Φιλαδέλφεια	Filadelfia
Φιλιατρά	Filiatra
Φιλιππίνες	Filippine
Φιλιππησίους	Filippesi
Φινλανδία	Finlandia
Φινλανδός	finlandese
Φλάνδρα	Fiandre
Φλωρεντία	Firenze
Φλόριντα	Florida
Φλύα	Flia
Φοίβη	Febe
Φοίνιξ	Fenice
Φοίνισσες	Le Fenicie
Φοινίκη	Fenicia
Φράγκος	franco
Φράιμπουργκ	Friburgo
Φρίξος	Frisso.
Φραγκίσκος	Francesco
Φρειδερίκη	Federica
Φρειδερίκος	Federico
Φριγκ	Frigg
Φυλή	File
Φόρμια	Formia
Φώκαια	Focea
Χάροντας	Caronte
Χάρυβδη	Cariddi
Χέιμνταλ	Heimdallr
Χίμαιρα	Chimera
Χίος	Chio
Χαβάη	Hawaii
Χαλάνδρι	Chalandri
Χαλέπι	Aleppo
Χαλκίδα	Calcide
Χαλκηδόνα	Calcedonia
Χαλκιδική	penisola Calcidica
Χαμαιλέων	Camaleonte
Χαναάν	Cananea
Χαουμέα	Haumea
Χαρά	Gioia
Χαράλαμπος	Charalampos
Χαρτούμ	Khartum
Χερσώνα	Cherson
Χιλή	Cile
Χιονάτη	Biancaneve
Χιροσίμα	Hiroshima
Χονγκ Κονγκ	Hong Kong
Χονδριχθύες	Chondrichthyes
Χοντ	Höðr
Χριστάδελφος	cristadelfiano
Χριστίνα	Cristina
Χριστιανός	Cristiano
Χριστούγεννα	Natale
Χριστός	Cristo
Χριστόφορος	Cristoforo
Χριψιμέ	Ripsima
Χρυσόστομος	Crisostomo
Χώρα των Βάσκων	Paese basco
Ψαλμοί	Salmi
Ψυττάλεια	Psittalia
Ψυχικό	Psichiko
Ωβέρνη	Alvernia
Ωκεανία	Oceania
Ωρίων	Orione
Ωραία Κοιμωμένη	La bella addormentata
Ωριγένης	Origene di Alessandria
Ωρολόγιον	Orologio
Ωσηέ	Osea
άβακας	abaco
άβυσσος	abisso
άγαλμα	statua
άγαμος	celibe
άγγελος	angelo
άγγιγμα	toccare
άγιος	santo
άγκυρα	ancora
άγνοια	ignoranza
άγνωστος	ignoto
άγονος	infertile
άγριος	selvaggio
άγχος	ansia
άδεια	permesso
άδεια οδήγησης	patente di guida
άδενδρος	brullo
άδικος	ingiusto
άεθνος	non-razziale
άζυμος	azzimo
άζωτο	azoto
άηχος	atono
άθεος	ateo
άθλημα	sport
άθλιος	misero
άθλος	ardimento
άθραυστος	infragibile
άθροιση	sommatoria
άθροισμα	somma
άθυμος	abbattuto
άκανθα	acanto
άκαρι	acaro
άκατος	capsula
άκλιτος	invariabile
άκρη	orlo
άκρως	estremamente
άκυρος	invalido
άλβεδο	albedo
άλγεβρα	algebra
άλικος	scarlatto
άλκη	alce
άλλεν	brugola
άλλοθι	alibi
άλλος	altro
άλμα	salto
άλμα επί κοντώ	salto con l'asta
άλμη	salamoia
άλμπατρος	albatro
άλογο	cavallo
άλσος	bosco
άλτο	alto
άλτο	alto
άλφα	alfa
άλως	areola
άμαξα	carrozza
άμβικας	alambicco
άμβρα	ambra grigia
άμβωνας	pulpito
άμεσα	direttamente
άμεσος	immediato
άμισχος	sessile
άμμος	sabbia
άμοιρος	disgraziato
άμορφος	amorfo
άμπωτη	bassa marea
άμυλο	amido
άμυνα	difesa
άνδρας	uomo
άνεμος	vento
άνεργος	disoccupato
άνεση	agio
άνετος	comodo
άνηθος	aneto
άνθηση	fioritura
άνθος	fiore
άνθρακας	carbone
άνθρωπος	uomo
άνοδος	anodo
άνοια	demenza
άνοιξη	primavera
άνω κάτω	a soqquadro
άνω και κάτω τελεία	due punti
άνωση	portanza
άξεστος	grezzo
άξιος	valido
άξονας	asse
άουτο ντα φε	autodafé
άπαξ	una volta
άπατος	senza fondo
άπατρις	apolide
άπειρο	infinito
άπειρος	infinito
άπηξ	apice
άπιστος	infedele
άπιστος Θωμάς	San Tommaso, che non ci crede se non ci mette il naso
άπληστος	avido
άπλυτα	bucato
άποικος	colonizzatore
άποιος διαβήτης	diabete insipido
άπορος	indigente
άπτομαι	toccare
άραγε	chissà
άργιλος	argilla
άργυρος	argento
άρθρο	articolo
άρθρωση	articolazione
άρια	aria
άριστος	eccellente
άρκευθος	ginepro
άρμα	biga
άρμα μάχης	carro armato
άρμεγμα	mungitura
άρνηση	negazione
άρπα	arpa
άρπισμα	arpeggio
άρρητος	irrazionale
άρρητος αριθμός	numero irrazionale
άρρωστος	malato
άρση βαρών	sollevamento pesi
άρωμα	profumo
άσθμα	asma
άσκαυλος	cornamusa
άσκηση	esercizio
άσμα	canto
άσος	asso
άσπιλος	immacolato
άσπρο	bianco
άσπρος	bianco
άστατο	astato
άστεγος	senza fissa dimora
άστοχος	inopportuno
άστριος	feldspato
άσυλο	asilo
άσφαλτος	asfalto
