α	t
Πάνας	Pan
Πάρης	Paris
Πάρνηθα	Parnes
Πάσχα	påsk
Πάτερ ημών	Fader vår
Πάτρα	Patra
Πέμπτη	torsdag
Πέρσης	perser
Πέρσιβαλ	Perceval
Πέτρα	Petra
Πέτρος	Peter
Πήγασος	Pegasus
Παγγαία	Pangea
Παγκόσμιος Ιστός	webb
Πακιστάν	Pakistan
Παλάου	Palau
Παλέρμο	Palermo
Παλαιά Διαθήκη	Gamla Testamentet
Παλαιστίνη	Palestina
Παναγία	Jungfru Maria
Παναμάς	Panama
Πανδώρα	Pandora
Παννονία	Pannonien
Παπουτσωμένος Γάτος	Mästerkatten i stövlar
Παρίσι	Paris
Παραγουάη	Paraguay
Παραγουανός	paraguayan
Παραλειπομένων Α΄	Första Krönikeboken
Παραλειπομένων Β'	Andra Krönikeboken
Παρασκευή	fredag
Παρθένος	Jungfrun
Παριζιάνα	parisiska
Παριζιάνος	parisare
Παροιμίες	Ordspråksboken
Πατρικία	Patricia
Παύλος	Pål
Πεδεμόντιο	Piemonte
Πειραιάς	Pireus
Πεκίνο	Beijing
Πελοπόννησος	Peloponnesos
Πεντάγωνο	Pentagon
Πεντάτευχος	Pentateuken
Περικλής	Perikles
Περιστερά	Duvan
Περουβιανός	peruan
Περού	Peru
Περσέας	Perseus
Περσία	Persien
Περσεύς	Perseus
Πιονγιάνγκ	Pyongyang
Πλάτων	Platon
Πλειάδες	Plejaderna
Πλούταρχος	Plutarchos
Πλούτωνας	Pluto
Πλυβιόζ	pluviôse
Πολιτεία	Staten
Πολυνησία	Polynesien
Πολυξένη	Polyxena
Πολωνία	Polen
Πολωνός	polack
Πομερανία	Pommern
Πομπηία	Pompeji
Ποντγκόριτσα	Podgorica
Πορτογάλος	portugis
Πορτογαλία	Portugal
Ποσειδώνας	Neptunus
Πουέρτο Ρίκο	Puerto Rico
Πράγα	Prag
Πράξεις των Αποστόλων	Apostlagärningarna
Πράσινο Ακρωτήριο	Kap Verde
Πρωσία	Preussen
Πρωσίδα	preussare
Πρωτομαγιά	första maj
Πρωτοχρονιά	nyårsdag
Πρωτόκολλο Διαδικτύου	Internetprotokoll
Πρύμνη	Akterskeppet
Πρώσος	preussare
Πτολεμαίος	Ptolemaios
Πυξίς	Kompassen
Πυρηναία	Pyrenéerna
Πύργος του Άιφελ	Eiffeltornet
Ρέα	Rhea
Ρέικιαβικ	Reykjavik
Ρήνος	Rhen
Ρίγα	Riga
Ραμπάτ	Rabat
Ραφαήλ	Rafael
Ρεβέκκα	Rebecka
Ρεν	Rennes
Ρεϋνιόν	Réunion
Ρηνανία-Παλατινάτο	Rheinland-Pfalz
Ριάντ	Riyadh
Ριχάρδος	Richard
Ροβέρτος	Robert
Ρογήρος	Roger
Ροδανός	Rhône
Ρομ	rom
Ρομπέν των Δασών	Robin Hood
Ρουάντα	Rwanda
Ρουβίκωνας	Rubicon
Ρουθ	Ruth
Ρουμάνα	rumän
Ρουμάνος	rumän
Ρουμανία	Rumänien
Ρωμαίος	romare
Ρωμαϊκή Αυτοκρατορία	Romerska Riket
Ρωξάνη	Roxana
Ρωσία	Ryssland
Ρωσίδα	ryska
Ρωσική Ομοσπονδία	Ryska federationen
Ρόδος	Rhodos
Ρώμη	Rom
Ρώσος	ryss
Σάββατο	lördag
Σάξονας	sachsare
Σάρα	Sara
Σάσα	Sasja
Σέρβα	serbiska
Σέρβος	serb
Σαββατοκύριακο	helg
Σαλαμίνα	Salamis
Σαμουήλ	Samuel
Σαμψών	Simson
Σαμόα	Samoa
Σαξονία	Sachsen
Σαουδάραβας	saudier
Σαουδική Αραβία	Saudiarabien
Σαπφώ	Sapfo
Σαράγεβο	Sarajevo
Σαρδηνία	Sardinien
Σαρωνικός	Saroniska
Σαχάρα	Sahara
Σείριος	Sirius
Σεβίλλη	Sevilla
Σειρήνα	siren
Σενεγάλη	Senegal
Σενεγαλέζος	senegales
Σεούλ	Seoul
Σεπτέμβριος	september
Σερβία	Serbien
Σερβία και Μαυροβούνιο	Serbien och Montenegro
Σεϋχέλλες	Seychellerna
Σηκουάνας	Seine
Σιέρα Λεόνε	Sierra Leone
Σιβηρία	Sibirien
Σιγκαπούρη	Singapore
Σικάγο	Chicago
Σικελία	Sicilien
Σιφ	Siv
Σκανδιναβία	Skandinavien
Σκανδιναβός	skandinav
Σκορπιός	Skorpionen
Σκωτία	Skottland
Σκωτσέζος	skotte
Σκόπια	Skopje
Σλάβος	slav
Σλοβάκος	slovak
Σλοβακία	Slovakien
Σλοβενία	Slovenien
Σοβιετική Ένωση	Sovjet-Unionen
Σολομών	Salomo
Σομαλία	Somalia
Σουαβία	Schwaben
Σουαζιλάνδη	Swaziland
Σουδάν	Sudan
Σουζάνα	Susanna
Σουηδή	svenska
Σουηδία	Sverige
Σουηδός	svensk
Σουρινάμ	Surinam
Σοφία	Sofia
Σοφοκλής	Sofokles
Σοφονίας	Sefanja
Σπάιντερμαν	Spindelmannen
Σπάρτη	Sparta
Σρι Λάνκα	Sri Lanka
Στέφανος	Stefan
Στέφανος Βόρειος	Norra kronan
Στέφανος Νότιος	Södra kronan
Σταυρός του Νότου	Södra korset
Σταχτοπούτα	Askungen
Στεφανία	Stephanie
Στοκχόλμη	Stockholm
Στρασβούργο	Strasbourg
Στύγα	Styx
Συρία	Syrien
Σφίγγα	Sfinx
Σωκράτης	Sokrates
Σόλων	Solon
Σόφια	Sofia
Τάγος	Tajo
Τάμεσης	Themsen
Τάραντας	Taranto
Τέξας	Texas
Τίγρης	Tigris
Τίρανα	Tirana
Τίτος	Titus
Ταλμούδ	Talmud
Τανζανία	Tanzania
Ταρζάν	Tarzan
Τασκένδη	Tasjkent
Τατιάνα	Tatjana
Ταϊβάν	Taiwan
Ταϊλάνδη	Thailand
Ταϊπέι	Taipei
Ταύρος	Oxen
Ταώς	Påfågeln
Τερψιχόρη	Terpsichore
Τετάρτη	onsdag
Τεχεράνη	Teheran
Τζακάρτα	Jakarta
Τζαμάικα	Jamaica
Τζιμπουτί	Djibouti
Τζόρτζια	Georgia
Τηθύς	Tethys
Τηλεσκόπιον	Kikaren
Τιρ	Tyr
Τιτάνας	Titan
Τιφλίδα	Tbilisi
Τοξότης	Skytten
Τορά	Torah
Τορίνο	Turin
Τορόντο	Toronto
Τοσοδούλα	Tummelisa
Τουβαλού	Tuvalu
Τουκάνα	Tukanen
Τουλούζη	Toulouse
Τουλόν	Toulon
Τουρκία	Turkiet
Τουρκμενιστάν	Turkmenistan
Τούλα	Тула
Τούρκος	turk
Τράπεζα	Taffelberget
Τρίγωνον	Triangeln
Τρίγωνον Νότιον	Södra triangeln
Τρίπολη	Tripoli
Τρίτη	tisdag
Τρίτος Κόσμος	tredje världen
Τριαδική	trias
Τριγκία	Tringía
Τρινιντάντ και Τομπάγκο	Trinidad och Tobago
Τροία	Troja
Τρόπις	Kölen
Τσέχα	tjeck
Τσέχος	tjeck
Τσαντ	Tchad
Τσερνόμπιλ	Tjernobyl
Τσεχία	Tjeckien
Τσεχοσλοβακία	Tjeckoslovakien
Τυνησία	Tunisien
Τόγκο	Togo
Τόκιο	Tokyo
Τόνγκα	Tonga
Τύνιδα	Tunis
Τύρος	Tyros
Υγεία	Hygieia
Υγιεία	Hygieia
Υδροχόος	Vattumannen
Υεμένη	Jemen
Υπαπαντή	kyndelsmässa
Υπερδνειστερία	Transnistrien
Υόρκη	York
ΦΠΑ	MOMS
Φάτα Μοργκάνα	fata morgana
Φήλιξ	Felix
Φαραώ	farao
Φεβρουάριος	februari
Φεζ	Fez
Φιλιππίνες	Filippinerna
Φιλιππησίους	Filipper
Φινλανδία	Finland
Φινλανδός	finländare
Φλάνδρα	Flandern
Φλορεάλ	blomstermånad
Φλωρεντία	Florens
Φλόριντα	Florida
Φοίβη	Phoebe
Φοίνικας	feniciska
Φοίνιξ	Fenix
Φοινίκη	Fenicien
Φράγκος	frank
Φράιμπουργκ	Freiburg
Φρέγια	Freja
Φραγκίσκος	Frans
Φρειδερίκη	Fredrika
Φρειδερίκος	Fredrik
Φριγκ	Frigg
Φριμαίρ	frimaire
Φρυκτιντόρ	fructidor
Φύρερ	Führern
Χάνσα	Hansan
Χέιμνταλ	Heimdall
Χίμαιρα	Chimaira
Χαβάη	Hawaii
Χαλέπι	Aleppo
Χαμαιλέων	Kameleonten
Χαναάν	Kanaan
Χανσεατική Ένωση	Hansan
Χαουμέα	Haumea
Χαρτούμ	Khartoum
Χιλή	Chile
Χιλιανός	chilenare
Χιονάτη	Snövit
Χονγκ Κονγκ	Hongkong
Χοντ	Höder
Χριστάδελφος	kristadelfian
Χριστίνα	Christin
Χριστιανός	Christian
Χριστούγεννα	jul
Χριστός	Kristus
Χριστόφορος	Kristoffer
Χώρα των Βάσκων	Baskien
Ψαλμοί	Psaltaren
Ωκεανία	Oceanien
Ωρίων	Orion
Ωραία Κοιμωμένη	Törnrosa
Ωρολόγιον	Pendeluret
Ωσηέ	Hosea
άβακας	abakus
άβυσσος	avgrund
άγ.	S:t
άγαλμα	staty
άγγελος	ängel
άγγιγμα	röra
άγευστος	smaklös
άγιος	helig
άγκιστρο	böj
άγκυρα	ankare
άγνοια	okunnighet
άγνωστος	okänd
άγουρος	omogen
άγριος	vild
άγχος	fruktan
άγω	föra
άδεια	tillåtelse
άδεια οδήγησης	körkort
άδειος	tom
άδενδρος	trädlös
άδηλος	oviss
άδικος	orättvis
άδολος	verklig
άζυμος	ojäst
άζωτο	kväve
άηχος	tonlös
άθελα	oavsiktligt
άθεος	ateist
άθλημα	idrott
άθλιος	utfattig
άθλος	bedrift
άθροισμα	summa
άθυμος	missmodig
άκακος	ofarlig
άκαρδος	hjärtlös
άκαυστος	obrännbar
άκλιτος	oföränderlig
άκμονας	städ
άκρη	rand
άκρως	extremt
άκυρος	ogill
άλας	salt
άλβεδο	albedo
άλγεβρα	algebra
άλγος	smärta
άλικος	scharlakansröd
άλκη	älg
άλλοθι	alibi
άλλος	annan
άλμα	hopp
άλμα επί κοντώ	stavhopp
άλμη	saltlag
άλμπατρος	albatross
άλμπουμ	album
άλογο	häst
άλσος	lund
άλφα	alfa
άλως	halo
άμαξα	kärra
άμβρα	ambra
άμβωνας	predikstol
άμεσος	omedelbar
άμετρος	omätt
άμμος	sand
άμοιρος	olycklig
άμορφος	amorf
άμπωτη	ebb
άμυλο	stärkelse
άμυνα	försvar
άνδρας	man
άνεμος	vind
άνεργος	arbetslös
άνεση	bekvämlighet
άνετος	behaglig
άνηθος	dill
άνθηση	blomning
άνθος	blomma
άνθρακας	kol
άνθρωπος	människa
άνοδος	anod
άνοια	demens
άνοιγμα	öppning
άνοιξη	vår
άντωση	flytkraft
άνω κάτω	upp och ned
άνω και κάτω τελεία	kolon
άνω τελεία	semikolon
άνωση	lyft
άξεστος	ofin
άξια	skickligt
άξιος	värdig
άξονας	axel
άπαξ	en gång
άπατος	bottenlös
άπατρις	statslös
άπειρο	oändlighet
άπειρος	ändlös
άπιστος	otrogen
άπλερος	omogen
άπληστος	girig
άπλυτα	smutstvätt
άποικος	kolonisatör
άπορος	utblottad
άποψη	åsikt
άπτομαι	röra
άργιλος	grus
άργυρος	silver
άρθρο	artikel
άρθρωση	led
άρια	aria
άριστος	förträfflig
άρκευθος	enbär
άρμα	stridsvagn
άρμα μάχης	stridsvagn
άρνηση	förnekande
άροτρο	plog
άρπα	harpa
άρρητος	irrationell
άρρωστος	sjuk
άρση βαρών	tyngdlyftning
άρτιος	jämn
άρτος	bröd
άρχοντας	herre
άρωμα	doft
άσθμα	astma
άσκαυλος	säckpipa
άσκηση	övning
άσος	äss
άσπρο	vit
άσπρο πάτο	botten upp
άσπρος	vit
άστατο	astat
άστατος	ombytlig
άστεγος	hemlös
άστοχος	misslyckad
άστριος	fältspat
άσυλο	asyl
άσφαλτος	asfalt
άσχετα	oavsett
άσχετος	irrelevant
άσχημα	dåligt
άσχημος	ful
άτακτος	stygg
άτιμος	oärlig
άτλαντας	atlas
άτολμα	försagt
άτομο	atom
άτρακτος	flygkropp
άυπνος	vaken
άφατος	obeskrivlig
άφθονος	riklig
άφιξη	ankomst
άφνιο	hafnium
άφραγκος	pank
άφυλλος	bladlös
άχρωμος	färglös
άχυρο	halm
άψογος	fläckfri
άψυχος	livlös
έβδομος	sjunde
έβενος	ebenholts
έγγραφο	kontrakt
έγγραφος	skriftlig
έγκαυμα	brännmärke
έγκλειστος	fånge
έγκλημα	brott
έγκλημα πολέμου	krigsbrott
έγκλιση	modus
έγκριση	bifall
έγκυος	gravid
έγκυρος	giltig
έγνοια	omsorg
έγχορδο	kordofon
έδαφος	botten
έδρα	säte
έθιμο	vana
έθνος	nation
έιτζ	aids
έκδοση	utlämning
έκζεμα	eksem
έκθεμα	utställningsföremål
έκθεση	utställning
έκκληση	appell
έκκριση	avföring
έκλειψη	förmörkelse
έκπληκτος	överraskad
έκπληξη	överraskning
έκπτωση	rabatt
έκρηξη	explosion
έκσταση	extas
έκταση	area
έκτος	sjätte
έκτρωση	abort
έκφραση	uttryck
έλαιο	matolja
έλατο	gran
έλεγχος	kontroll
έλεγχος εναέριας κυκλοφορίας	flygledning
έλεος	barmhärtighet
έλευση	ankomst
έλικας	propeller
έλκηθρο	släde
έλκος	böld
έλλειμμα	underskott
έλλειψη	ellips
έλος	kärr
έμβιος	levande
έμβλημα	emblem
έμβολο	kolv
έμβρυο	embryo
έμεσμα	spya
έμμεσος	indirekt
έμπειρος	erfaren
έμπνευση	inspiration
έμπορος	köpman
έμφραγμα	hjärtinfarkt
έμφραγμα του μυοκαρδίου	hjärtinfarkt
έμψυχος	levande
ένα	en
έναρξη	öppning
ένας	en
ένατος	nionde
ένδεια	armod
ένδειξη	tecken
ένδοξος	gloriös
ένεση	spruta
ένζυμο	enzym
έννοια	koncept
ένοικος	boende
ένοπλος	beväpnad
ένορκος	juryledamot
ένοχος	skyldig
ένστικτο	drift
ένταση	styrka
έντεκα	elva
έντερο	inälvor
έντομο	insekt
ένωση	union
έξαψη	iver
έξι	sex
έξοδο	kostnad
έξοδος	utgång
έξοδος κινδύνου	nödutgång
έξυπνος	klok
έξω	ute
έξω	ute
έξωση	avhysning
έπειτα	därpå
έπιπλο	möbel
έποικος	bosättare
έρανος	mål
έρβιο	erbium
έργο	arbete
έργο τέχνης	konstverk
έρευνα	forskning
έρημος	öken
έρημος	öken
έρμα	ballast
έρπω	krypa
έρχομαι	komma
έρωτας	kärlek
έσο έτοιμος	var redo
έτοιμος	redo
έτος	år
έτος φωτός	ljusår
έτσι	så
έτσι κι έτσι	sådär
έφηβη	tonåring
έφηβος	tonåring
έφιππος	ridande
έφοδος	räd
έχιδνα	huggorm
έχω	ha
έψιλον	epsilon
ή	eller
ήδη	redan
ήλθον, είδον, ενίκησα	jag kom, jag såg, jag segrade
ήλιο	helium
ήλιος	sol
ήπαρ	lever
ήπειρος	kontinent
ήπιος	mild
ήρα	repe
ήρεμος	lugn
ήρωας	hjälte
ήσυχος	lugn
ήτα	eta
ήττα	nederlag
ήχος	ljud
ίασπις	jaspis
ίδιος	samma
ίδρυμα	institution
ίδρυση	bildande
ίκτερος	gulsot
ίλιγγος	yrsel
ίνα	fiber
ίνδαλμα	idol
ίνδιο	indium
ίντερνετ καφέ	internetkafé
ίντσα	tum
ίουλος	hänge
ίππος	bygelhäst
ίριδα	iris
ίσιος	rak
ίσος	lik
ίσως	kanske
ίχνος	spår
α	ack
α-	o-
αέρας	vind
αέριο	gas
αέτωμα	gavel
αίγαγρος	alpstenbock
αίθουσα	sal
αίθριο	terrass
αίθριος	tydlig
αίλουρος	kattdjur
αίμα	blod
αίνιγμα	gåta
αίρεση	kätteri
αίσθημα	känsla
αίσθηση	sensation
αίτηση	ansökan
αίτιο	affär
αβάς	abbot
αβέβαιος	tvivelaktig
αβίαστος	spontan
αβαείο	abbotskloster
αβαθής	grund
αβανγκαρντισμός	avantgardism
αβαρής	lätt
αβγό	ägg
αβγότσουφλο	äggskal
αβεβαιότητα	osäkerhet
αβελιανή ομάδα	abelsk grupp
αβιογένεση	abiogenes
αβιταμίνωση	vitaminbrist
αβλαβής	ofarlig
αβοήθητος	hjälplös
αβοκάντο	avokado
αβροφροσύνη	hövlighet
αβρότητα	hövlighet
αβύθιστος	osänkbar
αγάπη	kärlek
αγέλη	flock
αγέννητος	ofödd
αγίασμα	vigvatten
αγαθά	förmögenheter
αγαθοεργία	välgörenhet
αγαθό	just
αγαθός	duglig
αγαλματίδιο	statyett
αγαμία	celibat
αγανακτισμένος	indignerad
αγαπάω	älska
αγαπημένος	favorit
αγαπητός	kär
αγγίζω	röra
αγγαρεία	(tråkig) rutinuppgift
αγγείο	kärl
αγγειεκτομή	vasektomi
αγγειοδιαστολή	vasodilatation
αγγειοπλάστης	krukmakare
αγγειοσυστολή	vasokonstriktion
αγγελικός	änglalik
αγγελιοφόρος	bud
αγγελολογία	angelologi
αγγλικά	engelska
αγγλικανισμός	anglikanism
αγγλικό κόρνο	engelskt horn
αγγλικός	engelsk
αγγλισμός	anglicism
αγγλοσαξονικός	anglosaxisk
αγγλόφωνος	engelsktalare
αγγουράκι	saltgurka
αγγουριά	gurka
αγγουρόσουπα	gurksoppa
αγγούρι	gurka
αγελάδα	ko
αγελαδάρης	cowboy
αγενής	oartig
αγιάζι	rim
αγιατολάχ	ayatolla
αγιόκλημα	kaprifol
αγιότητα	helighet
αγκάθι	tagg
αγκάλιασμα	kram
αγκαλιάζω	omfatta
αγκινάρα	kronärtskocka
αγκιτάτορας	agitator
αγκομαχάω	flämta
αγκουρέτο	dragg
αγκράφα	bältesspänne
αγκυροβολώ	ankra
αγκύλη	hakparentes
αγκώνας	armbåge
αγνεία	kyskhet
αγνοώ	ignorera
αγνωστικισμός	agnosticism
αγνός	kysk
αγνότητα	renhet
αγνώμων	otacksam
αγνώριστος	oigenkännlig
αγορά	marknad
αγορά εργασίας	arbetsmarknad
αγοράζω	köpa
αγορίστικος	pojkaktig
αγοραστής	köpare
αγοραστική δύναμη	köpkraft
αγοραφοβία	agorafobi
αγοροκόριτσο	pojkflicka
αγράμματος	analfabetisk
αγρανάπαυση	träda
αγριοκύμινο	kummin
αγριοπερίστερο	klippduva
αγριόγατα	vildkatt
αγριόπαπια	gräsand
αγριόχηνα	vildgås
αγριόχοιρος	vildsvin
αγριόχορτο	ogräs
αγροίκος	bonnläpp
αγρονομία	agronomi
αγρονομικός	agronomisk
αγρονόμος	agronom
αγροταγορά	bondmarknad
αγρυπνία	vaka
αγρυπνώ	dygna
αγρόκτημα	gård
αγρός	fält
αγρότης	bonde
αγχόνη	galge
αγχώδης	oroväckande
αγωγή	uppfostran
αγωγιάτης	mulåsnedrivare
αγωγιμότητα	konduktivitet
αγωγός	ledare
αγωνίζομαι	kämpa
αγόρι	pojke
αγύρτης	charlatan
αγώνας	kamp
αδάμαστος	genstörtig
αδέλφι	syskon
αδένας	körtel
αδένωμα	adenom
αδέξιος	drumlig
αδίκημα	lagöverträdelse
αδαμαντίνη	emalj
αδαμιαία περιβολή	adamsdräkt
αδειάζω	tömma
αδελφή	syster
αδελφικός	broderlig
αδελφοκτονία	brodermord
αδελφοκτόνος	brodermord
αδελφοσύνη	broderskap
αδελφός	bror
αδελφότητα	brödraskap
αδενίνη	adenin
αδενίτιδα	körtelinflammation
αδενοσίνη	adenosin
αδεξιότητα	klantighet
αδηφάγος	glupsk
αδιάβροχο	regnjacka
αδιάβροχος	vattenfast
αδιάθετος	dålig
αδιάκριτος	indiskret
αδιάλειπτος	oavbruten
αδιάλλακτος	omedgörlig
αδιάλυτος	olöslig
αδιάσειστος	obestridlig
αδιάφορος	likgiltig
αδιάψευστος	obestridlig
αδιέξοδο	återvändsgränd
αδιαίρετος	odelbar
αδιαβατικός	adiabatisk
αδιαλλαξία	omedgörlighet
