έξ	ex
Κυριότητες	Dominations
Κωνσταντίνος	Constantin
Κωνσταντινουπολίτισσα	Stambouliote
Κωνσταντινούπολη	Constantinople
Κως	Cos
Κόιντος	Quentin
Κόμη Βερενίκης	Chevelure de Bérénice
Κόρινθος	Corinthe
Κόστα Ρίκα	Costa Rica
Κύθηρα	Cythère
Κύκνος	Cygne
Κύνες Θηρευτικοί	Chiens de Chasse
Κύπρια	Chypriote
Κύπριος	Chypriote
Κύπρος	Chypre
Κύριε ελέησον	Seigneur, prends pitié
Κύριλλος	Cyrille
Κύριος	Seigneur
Κώστας	Costa
Λάζαρος	Lazare
Λάνσελοτ	Lancelot
Λάος	Laos
Λάρισα	Larissa
Λάσα	Lhassa
Λέων	Lion
Λέων Μικρός	Petit Lion
Λίβανος	Liban
Λίβυος	libyen
Λίγηρας	Loire
Λαγκαδάς	Langadas
Λαγωός	Lièvre
Λαμπτρές	Lamptrée
Λαπωνία	Laponie
Λασά	Lescha
Λαυρέντιος	Laurent
Λαϊκή Δημοκρατία του Κονγκό	République Démocratique du Congo
Λαύριο	Lavrio
Λεία	Léa
Λειψία	Leipzig
Λεοντίσκος	Petit Lion
Λετονία	Lettonie
Λευκάδα	Léucade
Λευκή	Blanche
Λευκονόη	Leukonoè
Λευκορωσία	Belarus
Λευκορώσος	Biélorusse
Λευκωσία	Nicosie
Λευϊτικό	Lévitique
Λεόντειος	Leonin
Λιβαδιά	Livadiá
Λιβανέζος	Libanais
Λιβύη	Libye
Λιθουανία	Lituanie
Λιμόζ	Limoges
Λισαβόνα	Lisbonne
Λογισμικό ως Υπηρεσία	Software as a service
Λοκρίδα	Locride
Λομβαρδοί	Lombards
Λονδίνο	Londres
Λονδρέζα	Londonienne
Λονδρέζος	Londonien
Λουγκάνσκ	Lougansk
Λουκάς	Luc
Λουκία	Lucie
Λουξεμβουργιανή	Luxembourgeoise
Λουξεμβουργιανός	Luxembourgeois
Λουξεμβούργο	Luxembourg
Λουχάνσκ	Louhansk
Λυγξ	Lynx
Λυδία	Lydia
Λυκαβηττός	Lycabette
Λυκούργος	Lycurgue
Λυσίας	Lysias
Λυτρωτής	Rédempteur
Λυχνάφτια	Lychnaftia
Λυών	Lyon
Λωτοφάγοι	Lotophages
Λόκι	Loki
Λύκος	Loup
Λύρα	Lyre
ΜΔΜ	UGM
ΜΕΘ	réa
Μάγχη	La Manche
Μάιος	mai
Μάλι	Mali
Μάλτα	Malte
Μάνη	Magne
Μάρκος	Marc
Μάρτιος	mars
Μάχη	Mâkhi
Μέγαρα	Mégare
Μέγας Κύων	Grand Chien
Μέδουσα	Méduse
Μέση Ανατολή	Moyen-Orient
Μήδεια	Médée
Μίλητος	Milet
Μίνωας	Minos
Μίνως	Minos
Μαγιότ	Mayotte
Μαγκρέμπ	Maghreb
Μαδαγασκάρη	Madagascar
Μαδρίτη	Madrid
Μαδριλένος	Madrilène
Μαθουσάλας	Mathusalem
Μακαρισμοί	Béatitudes
Μακεδονία	Macédoine
Μακρόν	Macron
Μαλαισία	Malaisie
Μαλακόστρακα	Malacostraca
Μαλαχίας	Malachie
Μαλγάσιος	Malgache
Μαλτέζος	Maltais
Μανασσής	Manassé
Μανωλιός	Manólis
Μανόλης	Manólis
Μαρία	Marie
Μαραθώνας	Marathon
Μαργαρίτα	Marguerite
Μαριάννα	Marianne
Μαριούπολη	Marioupol
Μαρμαράς	Île de Marmara
Μαροκινός	Marocain
Μαρούσι	Maroússi
Μαρτινίκα	Martinique
Μαρόκο	Maroc
Μασσαλία	Marseille
Ματθίλδη	Mathilde
Ματθαίος	Matthieu
Μαυρίκιος	Maurice
Μαυριτανία	Mauritanie
Μαυροβούνιο	Monténégro
Μαυρογένης	Barbe Noire
Μαύρος	Black
Μεγάλη Άρκτος	Grande Ourse
Μεγάλη Ύφεση	Grande Dépression
Μεγάλη Βρετανία	Grande Bretagne
Μεγάλη Εβδομάδα	Semaine Sainte
Μεγάλη Παρασκευή	vendredi saint
Μεγάλη Τεσσαρακοστή	carême
Μεγάλο Σάββατο	Samedi
Μεγαλειότατε	Votre Majesté
Μεγαλειότατος	majestueux
Μεγανήσι	Méganisi
Μεκλεμβούργο-Δυτική Πομερανία	Mecklembourg-Poméranie-Occidentale
Μελανία	Mélanie
Μελισσάνθη	Mélisande
Μελπομένη	Melpomène
Μεξικό	Mexico
Μερσεντές	Mercedes
Μεσιντόρ	messidor
Μεσοποταμία	Mésopotamie
Μεσόγειος	Méditerranée
Μεσόγειος Θάλασσα	Mer Méditerranée
Μετέωρα	Météores
Μετέωρο	Météore
Μεταρρύθμιση	Réformation
Μετς	Metz
Μεφιστοφελής	Méphistophélès
Μηλοφάγος	mélophage
Μηνάς	Minas
Μικρά Ασία	Asie Mineure
Μικρή Άρκτος	Petite Ourse
Μικροσκόπιον	Microscope
Μικρός Κύων	Petit Chien
Μιλάνο	Milan
Μιρέλλα	Mireille
Μισσισσιπής	Mississippi
Μιχαέλα	Michele
Μιχαήλ	Michel
Μιχαήλ Άγγελος	Michel-Ange
Μιχαίας	Michée
Μνημοσύνη	Mnémosyne
Μογγολία	Mongolie
Μογγόλος	Mongol
Μοζαμβίκη	Mozambique
Μονάδα Εντατικής Θεραπείας	réa
Μονακό	Monaco
Μονεγάσκος	Monégasque
Μονκό λε Μιν	Montceau-les-Mines
Μονπελιέ	Montpellier
Μοντομπάν	Montauban
Μοντρεαλίτης	Montréalais
Μοντρεαλίτισσα	Montréalaise
Μονόκερως	Licorne
Μουνιχία	Munichie
Μπάαλμπεκ	Baalbeck
Μπάρι	Bari
Μπάτνα	Batna
Μπέβερλι Χιλς	Beverly Hills
Μπέλγκοροντ	Belgorod
Μπέλλα	Belle
Μπέλφαστ	Belfast
Μπέργκαμο	Bergame
Μπέργκεν	Bergen
Μπέστλα	Bestla
Μπαγιόν	Bayonne
Μπακού	Bakou
Μπαλντρ	Baldr
Μπαλουχιστάν	Baloutchistan
Μπαμακό	Bamako
Μπαμπ ελ Μαντέμπ	Bab-el-Mandeb
Μπανγκί	Bangui
Μπανγκλαντές	Bangladesh
Μπανγκλαντεσιανός	Bangladais
Μπανγκόκ	Bangkok
Μπαντάρ Σερί Μπεγκαβάν	Bandar Seri Begawan
Μπανταλόνα	Badalone
Μπανταχσάν	Badakhchan
Μπαρμπάντος	Barbade
Μπαρναούλ	Barnaoul
Μπας Τερ	Basse-Terre
Μπασιλικάτα	Basilicate
Μπαστέρ	Basseterre
Μπαστιά	Bastia
Μπατόν Ρουζ	Baton Rouge
Μπαχάμες	Bahamas
Μπαχρέιν	Bahreïn
Μπαϊκονούρ	Baïkonour
Μπεζανσόν	Besançon
Μπελίζ	Belize
Μπελμοπάν	Belmopan
Μπελφόρ	Belfort
Μπενίν	Bénin
Μπενεβέντο	Bénévent
Μπενελούξ	Bénélux
Μπερζεράκ	Bergerac
Μπερντίτσεφ	Berditchev
Μπεσάρ	Béchar
Μπετζάγια	Bougie
Μπετόβεν	Beethoven
Μπλαγκόεβγκραντ	Blagoevgrad
Μπλουά	Blois
Μπορντό	Bordeaux
Μποτσουάνα	Botswana
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Μπρέντα	Brenda
Μπρέντα	Bréda
Μπρατισλάβα	Bratislava
Μπρνο	Brno
Μπρυμαίρ	brumaire
Μπωβαί	Beauvais
Μπωζολαί	Beaujolais
Μπων	Beaune
Μπόλιγουντ	Bollywood
Μπόομ	Boom
Μυία	Mouche
Μυρρινούς	Myrrhinonte
Μυρτώο Πέλαγος	Mer de Myrto
Μωάμεθ	Mahomet
Μωυσής	Moïse
Μόναχο	Munich
Μόντρεαλ	Montréal
Μόρφου	Morphou
Μόσχα	Moscou
ΝΑΤΟ	OTAN
Νάντη	Nantes
Νάντια	Nadia
Νάξος	Naxos
Νάπολη	Naples
Νέα Ζηλανδία	Nouvelle-Zélande
Νέα Καληδονία	Nouvelle-Calédonie
Νέα Υόρκη	New York
Νέα Φιλαδέλφεια	Nea Filadelfia
Νέο Ψυχικό	Neo Psychiko
Νέος Κόσμος	Nouveau Monde
Νέρτους	Nerthus
Νήσοι Αγίου Πέτρου και Μιχαήλ	Saint-Pierre et Miquelon
Νήσοι Κροζέ	îles Crozet
Νήσος Άγιος Παύλος	île Saint Paul
Νήσος Άμστερνταμ	île Amsterdam
Νίγηρας	Niger
Νίκαια	Nice
Νίκη	Niké
Νίκος	Nico
Νίσυρος	Nissiros
Ναζαρέτ	Nazareth
Ναζωραίος	Nazaréen
Νανσί	Nancy
Ναούμ	Nahum
Ναούρου	Nauru
Ναταλία	Nathalie
Ναυσικά	Nausicaa
Ναύπλιο	Nauplie
Νεβέρ	Nevers
Νεβόλιανη	Nevoljane
Νεεμίας	Néhémie
Νεκρά Θάλασσα	mer Morte
Νεκτάριος	Nectaire
Νεραντζιώτισσα	Neratziótissa
Νευροκόπι	Nevrokop
Νησιά του Σολομώντα	Îles Salomon
Νιβόζ	nivôse
Νιγηρία	Nigéria
Νικολέττα	Nicolette
Νικομήδεια	Izmit
Νικόδημος	Nicodème
Νικόλαος	Nicolas
Νικόλας	Nico
Νισέλ	Nichelle
Νοέμβριος	novembre
Νοεμβριανά	Vêpres grecques
Νορβηγία	Norvège
Νορβηγίδα	Norvégienne
Νορβηγός	Norvégien
Ντάλας	Dallas
Ντιζόν	Dijon
Ντονέτσκ	Donetsk
Ντονμπάς	Donbass
Ντουμπάι	Dubaï
Ντυσάν	Duchamp
Νυρεμβέργη	Nuremberg
Νότια Αμερική	Amérique du Sud
Νότια Αφρική	Afrique du Sud
Νότιος Πόλος	pôle Sud
Νώε	Noé
Ξάνθη	Xánthi
ΟΗΕ	ONU
ΟΠΕΚ	OPEP
ΟΥΕΦΑ	UEFA
Οβδιού	Abdias
Οδησσός	Odessa
Οδυσσέας	Ulysse
Οδύσσεια	Odyssée
Οιδίποδας	Œdipe
Οκρίβας	Peintre
Οκτάς	Octant
Οκτώβριος	octobre
Ολλανδή	Hollandaise
Ολλανδία	Hollande
Ολλανδός	Hollandais
Ολυμπιακοί Αγώνες	Jeux olympiques
Ομπερνέ	Obernai
Ομόνοια	Omónia
Οντίν	Odin
Ορέστης	Oreste
Οργανισμός Βορειοατλαντικού Συμφώνου	Organisation du traité de l’Atlantique Nord
Οργανισμός Ηνωμένων Εθνών	Organisation des Nations unies
Ορλεάνη	Orléans
Οσέρ	Auxerre
Οστρογότθοι	ostrogot
Οστρογότθος	Ostrogoth
Ουάλις και Φουτούνα	Wallis et Futuna
Ουαλή	Galloise
Ουαλία	Pays de Galles
Ουαλόνος	Wallon
Ουαλός	Gallois
Ουγγαρέζα	Hongroise
Ουγγαρία	Hongrie
Ουγενότος	Huguenot
Ουζμπεκιστάν	Ouzbékistan
Ουκρανή	Ukrainienne
Ουκρανία	Ukraine
Ουκρανός	Ukrainien
Ουλουρού	Uluru
Ουλρ	Ull
Ουρανία	Uranie
Ουρανός	Ouranos
Ουρουγουανός	Uruguayen
Οφηλία	Ophélie
Οφιούχος	Serpentaire
Οψίκιο	Opsikion
Ούγγρος	Hongrois
Ούννος	Hun
ΠΟΠ	AOP
ΠΟΥ	OMS
Πάνας	Pan
Πάντειο	Panteion
Πάντοβα	Padoue
Πάργα	Parga
Πάρης	Pâris
Πάρνηθα	Parnès
Πάσχα	Pâques
Πάτερ ημών	Notre Père
Πάτρα	Patras
Πάτροκλος	Patrocle
Πάφος	Paphos
Πέμπτη	jeudi
Πέρσης	Perse
Πέρσιβαλ	Perceval
Πέτρος	Pierre
Πήγασος	Pégase
Πήλιο	Pélion
Πίνδος	Pinde
Πίστη	Pistis
Παΐσιος	Païsios
Παγγαία	Pangée
Παγκράτι	Pangráti
Παιανία	Péania
Πακιστανός	Pakistanais
Παλέρμο	Palerme
Παλαιά Διαθήκη	Ancien Testament
Παλαιστίνη	Palestine
Παλαιστίνια	Palestinienne
Παλαιστίνιος	Palestinienne
Παλαιός Κόσμος	Ancien Monde
Παναμάς	Panamá
Παναρθρόποδα	Panarthropodes
Πανδώρα	Pandore
Παννονία	Pannonie
Πανσερραϊκός	Panserraikos
Παντοδύναμος	Tout-Puissant
Παπουτσωμένος Γάτος	Chat Botté
Παρίσι	Paris
Παραλειπομένων Α΄	1 Chroniques
Παραλειπομένων Β'	2 Chroniques
Παρασκευή	vendredi
Παρθένος	Vierge
Παρθενώνας	Parthénon
Παριζιάνα	Parisienne
Παριζιάνος	Parisien
Παροιμίες	Proverbes
Πασχάλης	Pascal
Πατήσια	Patíssia
Παχώμιος	Pacôme
Παύλος	Paul
Πειθώ	Péitho
Πειραιάς	Le Pirée
Πεκίνο	Pékin
Πελαγία	Pélagie
Πελασγός	Pelasgos
Πενσυλβάνια	Pennsylvanie
Πεντάγωνο	Pentagone
Πεντάτευχος	Pentateuque
Πεντελικό	Pentélique
Πεντηκοστή	Pentecôte
Περίοικοι	périèques
Περικλής	Périclès
Περιστέρι	Peristéri
Περιστερά	Colombe
Περού	Pérou
Περπινιάν	Perpignan
Περσέας	Persée
Περσία	Perse
Περσείδες	perséides
Περσεύς	Persée
Πετράλωνα	Petrálona
Πετρόμπεης	Petrobey
Πηλέας	Pélée
Πηνειός	Pénée
Πηνελόπη	Pénélope
Πιστεύω	credo
Πλάκα	Pláka
Πλάτων	Platon
Πλήθων	Pléthon
Πλαταμώνας	Platamon
Πλειάδες	Pléiades
Πλούταρχος	Plutarque
Πλούτωνας	Pluton
Πλυβιόζ	pluviôse
Πλωτίνος	Plotin
Πνύκα	Pnyks
Πολέμαρχος	polémarque
Πολιτεία	La République
Πολυνησία	Polynésie
Πολυξένη	Polyxène
Πολωνή	Polonaise
Πολωνία	Pologne
Πολωνός	Polonais
Πολύμνια	Polymnie
Πομάκος	Pomaque
Πομερανή	Poméranienne
Πομερανία	Poméranie
Πομερανός	Poméranien
Πομπηία	Pompéi
Ποπάι	Popeye
Πορτογάλος	Portugais
Πορτογαλία	Portugal
Ποσειδώνας	Poséidon
Ποσιδεών	Poséidéon
Πουατιέ	Poitiers
Πουμιάθων	Pumiathon
Πράγα	Prague
Πράξεις των Αποστόλων	Actes des Apôtres
Πρέβεζα	Préveza
Πραιριάλ	prairial
Προποντίδα	Propontide
Πρωσία	Prusse
Πρωσίδα	Prussienne
Πρωτομαγιά	Premier mai
Πρωτοχρονιά	jour de l'an
Πρόσπαλτα	Prospalte
Πρύμνη	Poupe
Πρώσος	Prussien
Πτηνόν Παραδείσιον	Oiseau du paradis
Πυθία	Pythie
Πυξίς	Boussole
Πυρηναία	Pyrénées
Πόρτο	Porto
Πύργος του Άιφελ	tour Eiffel
Ράπτης	Tailleur
Ρέα	Rhéa
Ρήνος	Rhin
Ρίο	Rhion
Ραμνούντας	Rhamnonte
Ραφήνα	Rafína
Ραφαήλ	Raphaël
Ρεβέκκα	Rebecca
Ρεμς	Reims
Ρεν	Rennes
Ρεϋνιόν	Réunion
Ρηνανία-Παλατινάτο	Rhénanie-Palatinat
Ριζούπολη	Rizoúpoli
Ριχάρδος	Richard
Ροβέρτος	Robert
Ρογήρος	Roger
Ροδανός	Rhône
Ρομπέν των Δασών	Robin des Bois
Ρουέν	Rouen
Ρουβίκωνας	Rubicon
Ρουθ	Ruth
Ρουμάνα	Roumaine
Ρουμάνος	Roumain
Ρουμανία	Roumanie
Ρουμπέ	Roubaix
Ρωμαίος	Romain
Ρωμαϊκή Αυτοκρατορία	Empire romain
Ρωμύλος	Romulus
Ρωξάνη	Roxane
Ρωσία	Russie
Ρωσίδα	Russe
Ρόδιος	Rhodien
Ρόδος	Rhodes
Ρώμη	Rome
Ρώσος	Russe
Σάββατο	samedi
Σάμος	Samos
Σάσα	Sacha
Σέρβος	Serbe
Σέργιος	Serge
Σία	Cie
Σία	Sía
Σίβυλλα	Sibylle
Σίολ	Sheol
Σίφνος	Sifnos
Σαβά	Saba
Σαββατοκύριακο	week-end
Σαιν Πιερ και Μικελόν	Saint-Pierre et Miquelon
Σακραμέντο	Sacramento
Σαλαμίνα	Salamine
Σαλώμη	Salomé
Σαμουήλ	Samuel
Σαμψών	Samson
Σαμόα	Samoa
Σαντορίνη	Santorin
Σαουδάραβας	Saoudien
Σαουδαράβισσα	Saoudienne
Σαουδική Αραβία	Arabie saoudite
Σαπφώ	Sappho
Σαρδηνία	Sardègne
Σαρλβίλ Μεζιέρ	Charleville-Mézières
Σαρωνικός	Saronique
Σατομπριάν	Chateaubriand
Σαχάρα	Sahara
Σαύρα	Lézard
Σεβίλλη	Séville
Σεβαστούπολη	Sébastopol
Σεβιλλιάνα	Sévillane
Σεβιλλιανός	Sévillan
Σεγόβια	Ségovie
Σειρήνα	sirène
Σελήνη	Lune
Σελλοί	Selles
Σεν Λο	Saint-Lô
Σεν Μαλό	Saint-Malo
Σεν Μπριέκ	Saint-Brieuc
Σεν Ναζέρ	Saint-Nazaire
Σεν Τροπέ	Saint-Tropez
Σενεγάλη	Sénégal
Σενεγαλέζος	Sénégalais
Σεντ Ετιέν	Saint-Étienne
Σεντ Μερ Εγκλίζ	Sainte-Mère-Église
Σεντ Μορ ντε Τουρέν	Sainte-Maure-de-Touraine
Σεπτέμβριος	septembre
Σεπόλια	Sepólia
Σερβία	Serbie
Σερβία και Μαυροβούνιο	Serbie-et-Monténégro
Σερζ	Serge
Σερμπούρ	Cherbourg
Σεχόλ	Sheol
Σηκουάνας	Seine
Σημίτης	sémite
Σιδηρόκαστρο	Sidirókastro
Σικελία	Sicile
Σιμώνη	Simona
Σιφ	Sif
Σκάλα	la Scala
Σκάνδεια	Scandea
Σκανδιναβία	Scandinavie
Σκανδιναβός	Scandinave
Σκορπιός	Scorpion
Σκωτία	Écosse
Σκωτσέζος	Écossais
Σκόπια	Skopje
Σκύλλα	Scylla
Σκύρος	Skyros
Σλοβάκος	Slovaque
Σλοβακία	Slovaquie
Σλοβενία	Slovénie
Σμίλη	Burin
Σοβιετική Ένωση	Union Soviétique
Σου	Sue
Σουαβή	Souabe
Σουαβία	Souabe
Σουαβός	Souabe
Σουδάν	Soudan
Σουζάνα	Suzanne
Σουηδή	Suédoise
Σουηδία	Suède
Σουηδός	Suédois
Σουσού	Chouchou
Σοφία	Sophie
Σοφονίας	Sophonie
Σούζα	Suse
Σούφι	soufi
Σπάιντερμαν	Spider-Man
Σπάρτη	Sparte
Σπαθιώτες	Spathiotes
Σπαρτιάτης	Spartiate
Σπυρίδων	Spyridon
Στάδιο Ειρήνης και Φιλίας	Stade de la Paix et de l'Amitié
Στέφανι	Stéphanie
Στέφανος	Étienne
Στέφανος Βόρειος	Couronne Boréale
Στέφανος Νότιος	Couronne Australe
Σταγοί	Stagi
Σταυρανθή	brassicacées
Σταυρός του Νότου	Croix du Sud
Σταχτοπούτα	Cendrillon
Στεφανία	Stéphanie
Στοκχόλμη	Stockholm
Στρασβούργο	Strasbourg
Στρουθιόμορφα	Passériformes
Στρυμόνας	Strymon
Στόουνχεντζ	Stonehenge
Στύγα	Styx
Συλβέστρος	Silvestre
Συντονισμένη Παγκόσμια Ώρα	temps universel coordonné
Συρία	Syrie
Σφίγγα	Sphinx
Σχης	Col
Σωκράτης	Socrate
Σόνια	Sonia
Σύρα	Syra
Τάγος	Tage
Τάκιτος	Tacite
Τάμεσης	Tamise
Τάραντας	Tarente
Τάταρος	Tartare
Τέξας	Texas
Τήλος	Tilos
Τίγρης	Tigre
Τίμων	Timon
Τίμωνας	Timon
Τίτος	Tite
Ταβιθά	Tabitha
Ταλμούδ	Talmud
Ταμερλάνος	Tamerlan
Ταράντο	Tarente
Τασμανία	Tasmania
Τατιάνα	Tatiana
Τατόι	Tatoï
Ταϊβάν	Taïwan
Ταϊλάνδη	Thaïlande
Ταϊτή	Tahiti
Ταύρος	Taureau
Ταώς	Paon
Τεξανός	Texan
Τερψιχόρη	Terpsichore
Τετάρτη	mercredi
Τεταρτίδες	Quadrantides
Τεχεράνη	Téhéran
Τζια	Tziá
Τζιμπουτί	Djibouti
Τζιτζιφιά	Tzitzifiá
Τζοκόντα	Joconde
Τζουμέρκα	Tzoumerka
Τηθύς	Téthys
Τηλεσκόπιον	Télescope
Τιρ	Týr
Τιτίκα	Cosette
Τοξότης	Sagittaire
Τορίνο	Turin
Τοσοδούλα	Petite Poucette
Τουκάνα	Tucan
Τουλούζη	Toulouse
Τουλόν	Toulon
Τουρκάλα	Turque
Τουρκία	Turquie
Τουρκοβούνια	Tourkovoúnia
Τουρκοκρατία	domination
Τούλα	Tula
Τούρκος	Turc
Τράπεζα	Table
Τρίγωνον	Triangle
Τρίγωνον Νότιον	Triangle austral
Τρίπολη	Tripoli
Τρίτη	mardi
Τρίτος Κόσμος	tiers-monde
Τριχωνίδα	Trichonida
Τροία	Troie
Τροιζήνα	Trézène
Τροκαντερό	Trocadéro
Τρομελίν Νήσος	Île Tromelin
Τρόπις	Carène
Τρύφων	Tryphon
Τσέχα	Tchèque
Τσέχος	Tchèque
Τσαντ	Tchad
Τσερνόμπιλ	Tchernobyl
Τσετσένος	Tchétchène
Τσεχία	République tchèque
